Author,Date,Region,Sentence,LLaMA
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era stata ben condotta ecc. Dall'altra parte, Aiace era un cavaliere libero e valoroso in battaglia, ma non era dotato di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","crudele e vendicativo, come richiede la legge, e non perdona a nessun cavaliere che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, un nobile romano, non fu decorato per altre virtù che la sua forza d'animo."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti e se il tempo richiede Pompeio come cavaliere e non come compagno, non considererò più le sorti come destino."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'officio di questa arte sembra essere parlare in modo artificioso per ingannare, fine è ingannare con le parole."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, i vasti venti che si sviluppano cagliono ampie nuvole di nebbia; e sembrava che tutto il cielo stesse piombando nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Invece, chi spererebbe che anche costoro, che non vogliono ancora credere in Cristo, non ci vedono già con noi, e per non poter negarlo, sbavano di rabbia."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I commerci con i morti e le oppressioni dei vivi crearono la frode di un re crudelissimo.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché colui, che oggi per le sue gravissime colpe è crudele e onorato, sia colpito da ogni male e tormentato a causa della empietà commessa contro il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso incontrano la verità proprio quando sono costretti a stare fermi nella menzogna.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si comportò con saviezza e si riservò di parlare ultimamente."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che sapevo essere fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, condusse una vita più bassa e più depravata."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Anche l'amante, chiamando la sua donna a pietà, le dice molte parole e ragioni, e lei si difende con le sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (c. 347) di aver lasciato andare la mia donna quando ero infuriato. Oh, quanti giorni si sono trascinati a causa di questa mia rabbia!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"Colui del quale tu ti sei sempre lamentato, poiché era innamorato della tua donna."
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non lo sapevano ancora i nomi di quelli della congiura, poiché la donna non li nominava."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Credi? Certamente, quando si mosse, disse: ""Oh, mia fedele donna, chiedi al nostro ospite troiano che prenda il mio posto""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripresa a gran voce la cattiveria di una donna che aveva commesso un simile inganno, proprio nel tempo in cui questo signore governava la repubblica."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano dell'iniquità di Appio e si ripiangevano la sfortunata bellezza della giovane e la necessità del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, per certo, io ebbi sempre il coraggio di parlare di pace e mi dispiacque sempre che non solo la pace venisse disprezzata,"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda, per la sua grande previdenza, può talora rendere timido, e la prima, per l'ardire, condurre alla follia."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Entrò nel campo dei Cartaginesi e portò con sé tutta la legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.",Non lo volle conoscere come nemico. Ecco la stessa persona che diede coraggio al profeta Natan per rimproverare con grande autorità il re peccatore.
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Erano in armi e si spingevano tra nemici, quindi, se non avessero avuto il coraggio di farlo, non l'avrebbero intrapreso con animo così risoluto."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Dove ragionevolmente Giobbe è interpretato come un uomo sofferente.
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Colui che sopra tutti gli altri perdonava ai cittadini e a cui potete credere più sicuramente, poiché fu il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.","Inutile è chiedersi chi abbia scritto questo libro, poiché si deve credere con certezza che lo abbia ispirato lo Spirito Santo."
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse già abituale, sembrerebbe certo molto più incredibile; in realtà è più facile crederlo, visto che l'anima umana è soggetta a mutamenti, mentre il divino è immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,"dovevano prendere il pagamento dal camerlengo, e subito andare alla presenza del papa per contrastare il passaggio dei cavalieri che venivano da Cecilia in Toscana"
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Achelao con espressione di profonda meraviglia e disse così: ""Oh, signor Achelao, ti prego, dimmi come hai perso""."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero di poter presto mandare a te Timoteo per conto di Gesù, in modo che il mio animo resti sereno."
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"In realtà, il cinghiale selvaggio supera l'uomo nel solo udire, mentre il lupo è più astuto nel solo vedere."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"mandano un luogo lancioni; ciò che i cavalieri chiamano ""capo di porco""

Nota: ""lancioni"" è un termine arcaico che indicava un tipo di trappola o insidia, mentre ""capo di porco"" era un'espressione idiomatica che indicava un luogo dove si verificava un disastro o un'umiliazione."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,tende le reti ai cervi e sa bene in quali valli si nasconda il feroce cinghiale.
