Author,Date,Region,Sentence,pos_tags,LLaMA
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno",DET NOUN ADV VERB DET PUNCT NOUN SCONJ PUNCT PROPN ADP PUNCT ADJ NOUN PROPN AUX DET NOUN ADJ CCONJ NOUN ADP PUNCT NOUN PUNCT ADP ADJ NOUN PUNCT CCONJ ADV AUX ADJ ADP ADJ NOUN,"Quell'opera fu ben fatta perciò... Dall'altra parte, Aiace era un cavaliere franco e valoroso in guerra, in modo grande, ma non era pieno di grande sapienza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.",ADJ PUNCT CCONJ ADP DET DET NOUN VERB NOUN PUNCT SCONJ VERB DET NOUN PUNCT CCONJ ADP ADJ NOUN VERB SCONJ VERB PUNCT,"Siate crudeli, e perseguitate tutti i colpevoli, come vuole la legge, e lasciate perdono a nessun cavaliere, che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",ADV ADP AUX ADJ NOUN ADP PUNCT NOUN PRON VERB PROPN PROPN PUNCT ADJ NOUN PUNCT,"Nessun'altra virtù d'animo ha adornato Ponzio Aufidiano, il valoroso cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.",SCONJ PRON VERB ADP PRON CCONJ SCONJ PUNCT DET NOUN NOUN NOUN ADP VERB PROPN ADP NOUN CCONJ ADV ADP NOUN PUNCT ADV VERB ADV DET NOUN PUNCT,"Se questo è gradevole a tutti e se il tempo ha bisogno di Pompeio come cavaliere e non come compagno, non mi piegherò più a colpa."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",NOUN ADP DET NOUN VERB SCONJ AUX VERB ADV ADP VERB VERB PUNCT NOUN AUX VERB VERB ADP PRON VERB PUNCT,"Il compito di questa arte sembra essere espungere parole inopportune per fare credere, il fine vero è far credere per quel che si dice."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,ADV CCONJ NOUN ADJ VERB ADP ADJ NOUN PUNCT CCONJ AUX VERB SCONJ DET DET NOUN VERB ADP NOUN,"Ecco che cadono vasti cumuli di nebbia, e sembreresti credere che tutto il cielo si gettasse nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.",ADV SCONJ ADV PRON VERB PRON PRON VERB PRON PRON ADV AUX ADV VERB ADP PROPN PUNCT ADV ADJ ADP PRON PUNCT CCONJ SCONJ NOUN AUX VERB PUNCT VERB ADJ NOUN PUNCT,"Se ancora sperasse qualcuno che queste persone, che non credono ancora in Cristo, già lo scoprono con noi e, perché non possono negarlo, soffocano a stento."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,DET NOUN ADP PUNCT NOUN CCONJ DET NOUN ADP ADP NOUN VERB DET NOUN ADP DET ADJ NOUN PUNCT,I venditti dei morti e le persecuzioni dei vivi fecero la frode di un re crudele.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.",ADV DET PUNCT DET PRON ADV ADP DET DET ADJ NOUN AUX ADJ CCONJ NOUN PUNCT PRON ADP DET NOUN ADJ CCONJ ADJ ADP NOUN ADP DET DET NOUN PUNCT,"Affinché Costui, il quale ora, per le sue gravi colpe, è crudele e rispettabile, egli sia afflitto e tormentato da ogni male, a causa dell'impietà commessa contro mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,DET NOUN ADJ ADP VERB ADJ ADP NOUN VERB DET NOUN PUNCT,Gli uomini di solito (safra: spessamente è un uso letterario o poetico) cadono nella menzogna quanto più si sostengono nella bugia.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.",PROPN PROPN SCONJ AUX ADP ADP NUM NOUN PUNCT ADV SPACE PRON VERB ADP VERB ADP NOUN PUNCT,"Marco Cornelio, che era uno dei dieci commensali, si riservò saggiamente di parlare per ultimò."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,NOUN SCONJ PRON VERB SCONJ AUX VERB ADP PROPN PUNCT,cose che sapevo essere state fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,PROPN NOUN ADP PROPN PROPN VERB DET NOUN ADV ADJ CCONJ ADV ADJ,"Corbio, nipote d'Ortensio, condusse la vita più bassa e più viziosa possibile."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.",PROPN DET NOUN VERB VERB ADP DET NOUN VERB NOUN CCONJ NOUN PRON PUNCT CCONJ PRON PRON VERB ADP DET VERB PUNCT,"Anche un amante, chiamando mercede alla sua donna, dice molte parole e ragioni, e lei si difende con le sue parole."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!",PRON PRON VERB PUNCT PROPN NOUN NUM PUNCT SCONJ AUX VERB VERB DET DET NOUN PUNCT PROPN PUNCT PRON VERB DET NOUN PRON VERB PUNCT,"Ricordo ancora (cfr. cap. 347) di esser stato infuriato e di aver maltrattato la mia donna. Ah, quanti giorni mi hanno fatto soffrire quest'ira!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,PRON ADP PRON PRON AUX NOUN VERB PROPN PRON AUX NOUN ADP DET NOUN PUNCT,quell'uomo per il quale tu ti solevi addolorare perché era amante della tua donna.
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.",CCONJ ADV VERB ADV DET NOUN ADP PRON VERB NOUN PUNCT SCONJ DET NOUN ADJ VERB ADV DET NOUN PUNCT,"Ma non erano ancora a conoscenza dei nomi di coloro che partecipavano alla congiura, poiché la donna non li nominava ancora."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".",PROPN PUNCT SPACE ADV SCONJ NOUN PRON VERB PUNCT NOUN PRON PROPN PUNCT PUNCT CCONJ ADJ DET NOUN PUNCT VERB PUNCT PRON ADP DET NOUN PRON AUX VERB DET DET PROPN ADJ PUNCT PUNCT,"Creti? È chiaro che quando si mosse, gli disse: ""O mia fida donna, fa' che in mio luogo il nostro Otreo abbia raccomandato il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ",ADP PROPN PRON VERB DET NOUN ADP ADP DET NOUN ADP ADJ NOUN PUNCT ADP NOUN ADJ ADP DET NOUN ADP PROPN PUNCT ADP DET NOUN PUNCT,"A Milano fu riesumata la malvagità di una donna per una menzogna simile, nella stessa epoca in cui visse questo signore della repubblica, cioè:"
