Author,Date,Region,Sentence,LLaMA
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","""Quella guerra fu un'opera ben fatta, ma dall'altra parte Aiace era un cavaliere francese e valoroso, ma non aveva grande intelligenza."""
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","""Cruel, e prende vendetta di tutte le colpe, come richiede la legge, e perdonerà a nessun cavaliere che pecca."""
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, cavaliere romano, non aveva un'anima più forte."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","""Se questo piace a tutti e se il tempo richiede un Pompeo per cavaliere e non per compagno, non considererò più i fatti."""
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","""L'ufficio di questo arte sembra essere quello di dire qualcosa in modo da far credere, e il fine è far credere attraverso il dire."""
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"""Ecco che i temporali estesi si abbassano sulle nebbie decise; e sembrerebbe che tutto il cielo stesse precipitando nel mare"""
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ma chi spererebbe che anche quelli che non credono ancora in Cristo siano già con noi, e non possono negarlo, quindi si lamentano a denti stretti."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,"""Il commercio dei morti e le pretese dei vivi fece la frode di un re crudele."""
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","""Affinché colui, che ora per le sue gravi colpe è crudele e nobile, sia liberato da ogni male e tormento causato dalla sua empietà verso mio padre."""
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"""Gli uomini spesso si fermano a credere la verità solo quando sono costretti a stare fermi nella bugia."""
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, essendo uno dei dieci compagni, si riservò di parlare per ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,"""Cose che sapevo essere fatte in Italia."""
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Il nipote di Ortensio trascorse la sua vita in modo più basso e più vizioso.
