author,date,region,Sentence,minerva
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene, ed essa portò ad un esito positivo; Aiace era un valoroso cavaliere francese e abile nell'uso delle armi, ma non era dotato di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, e punisci ogni colpa secondo la legge, senza concedere perdono ad alcun cavaliere che commetta peccato."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.",Non fu dotato di altro coraggio se non quello del romano cavaliere Ponzio Aufidiano.
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se ciò piace a tutti e se il tempo ha bisogno di avere Pompeo come cavaliere e non come compagno, non considererò più gli eventi."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'arte di questa professione consiste nel dire intenzionalmente per ingannare, il fine è ingannare attraverso le parole."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco che le nuvole gonfie e pesanti oscurano il cielo, e potresti pensare che tutta la terra fosse sommersa dalle acque del mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Tuttavia coloro che non credono ancora in Cristo, pur vedendolo con i propri occhi, lo negano con i denti perché non possono ammetterlo."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,Le frodi dei defunti e le pressioni dei vivi fecero la rovina di un crudele sovrano.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinché quell'uomo, ora accusato di gravi reati, possa essere privato di ogni bene e tormentato da ogni forma di ingiustizia."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Spesso gli uomini incontrano la verità quando stanno fermi nella menzogna.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, si riservò di parlare per ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Cose che sapevo essere state prodotte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corvino, nipote di Ortensio, condusse la propria esistenza in modo più basso e più vizioso."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Allo stesso modo, un amante chiama merda alla propria donna dicendo molte parole e ragionamenti; lei si difende dalle accuse."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!",Ricordo che ero molto arrabbiato e ho picchiato la mia donna. Quanti giorni questo mio comportamento mi ha causato problemi!
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,Colui del quale ti lamentavi perché amava la tua donna;
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi dei cospiratori, perché la donna non aveva ancora nominato i loro nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Certo quando egli si mosse, disse a lei: ""Oh mia fedele signora, prega affinché io possa essere raccomandato presso il nostro ospite troiano""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu punita la malvagità di una donna in tale menzogna nello stesso periodo di questo signore della repubblica, in tal modo."
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.",Si lamentavano dell'ingiustizia di Appio e piangevano la sventurata bellezza della fanciulla e la necessità del padre.
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Nella quale guerra ho sempre avuto il coraggio di parlare di pace e mi dispiaceva che non solo la pace fosse disprezzata, ma anche che nessuno volesse ascoltare le mie parole."
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda volta spesso fa paura per la sua grande esperienza, mentre la prima rende gli altri pazzi per il suo coraggio."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Si recò nel campo dei Cartaginesi e l'intera legione lo seguì.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non volle conoscerlo come nemico. Questa è la stessa persona che diede coraggio al profeta Natan nel rimproverare severamente quel re, colpevole di aver commesso un grave peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","Passarono le armi tra i nemici, perciò se qualcuno non avesse avuto coraggio di ciò e così avevano questo spirito."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,"Ragionevolmente, Giobbe viene interpretato dolorosamente."
Filippo da Santa Croce,1323,tosc.,"quello che sopra tutti gli altri perdonasse a' cittadini, e a cui più sicuramente possiate credere; poi ch'egli fu vostro comandatore.","Quello che sopra ogni altro perdonò ai cittadini, e a cui potete maggiormente credere, fu il vostro comandante."
Zanobi da Strada,1361,tosc.,"in vano si domanda chi questo Libro scrivesse, con ciò sia cosa che fedelmente si debba credere che l'Auttore di quello fusse lo Spirito santo.",Invano ci si chiede chi abbia scritto questo libro; esso deve essere considerato come qualcosa che si deve credere fermamente che l'autore fosse lo Spirito Santo.
Agostino da Scarperia (?),1390,tosc.,"se non fosse usatissima, ciò parrebbe certo molto più incredibile: certo più agevolmente si può credere quello, posto che l'umano spirito al divino, ed il mutabile allo incommutabile","Se non fosse usata con frequenza, potrebbe sembrare molto più incredibile: infatti è più facile credere ciò, dato che lo spirito umano tende ad assimilarsi al divino e ciò che muta è considerato immutabile."
Brunetto Latini,1260-61,fior.,che prendessero la paga dal camarlingo per loro dispensa et immantenente andassero alla presenzia di messer lo papa per contradiare il passamento de' cavalieri che veniano di Cecilia in Toscana,Che ricevessero denaro dal camerlengo per conto proprio e immediatamente si recassero alla presenza del Papa per contraddire le affermazioni dei cavalieri che provenivano da Cecilia in Toscana.
Bonsignori,1375-77,umbr.-tosc.,"Teseo reguardò Achelao fortemente meravigliandose e disse così: ""O messer Achelao, io vi prego che voi me diciate in che modo voi perdeste","Teseo guardò Aiace molto meravigliato e gli chiese: “O signore Aiace, mi pregherei che voi mi spiegaste come avete perso”."
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono",Spero che messer Gesù mandi presto a voi Timoteo affinché io possa essere di buon animo.
Brunetto Latini,1260-61,fior.,sanza fallo lo porco salvatico avanza l' uomo d' udire e 'l lupo cerviere del vedere,"Senza dubbio, l'uomo selvaggio avanza senza timore né paura, come il maiale che sente e vede."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"Un luogo viene chiamato ""capo di porco"" dai cavalieri."
Arte Am. Ovid. (B),1310/13,fior.,tenda le reti a li cerbi e sa bene in quali valle dimori il furioso porco cinghiare.,tende le reti ai cervi e conosce bene dove vive il feroce maiale da cacciare.
