Author,Date,Region,Sentence,initial_translation,feedback,modern_translation
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era l'opera perché etc. Dall'altra parte, Aiace era un cavaliere francese e valoroso con l'arma, dotato di grande abilità, ma non era ricco di grande saggezza.","La valutazione critica della traduzione proposta rispetto alla frase originale (italiano arcaico) è la seguente:

1. **Significato**: La traduzione ha mantenuto il significato generale della frase originale, ma manca alcune informazioni chiave. Ad esempio, ""l' opera perché"" è un'espressione che si riferisce al risultato di una guerra, ma la traduzione non lo chiarisce. Inoltre, ""Aiaces"" è rimasto invariato, mentre sarebbe più appropriato tradurlo come ""Aias"", il nome greco corretto. Tuttavia, la frase principale sembra essere stata correttamente tradotta.

2. **Grammatica**: La frase è grammaticalmente corretta, ma manca di alcuni elementi che renderebbero la lingua più fluida e naturale. Per esempio, la punteggiatura potrebbe essere migliorata.

3. **Lessico e struttura sintattica**: Il lessico è adatto a un lettore contemporaneo italiano, ma la struttura sintattica potrebbe essere migliore. La frase è stata ridimensionata e sembra meno complessa del testo originale.

4. **Termini arcaici**: I termini arcaici sono stati sostituiti con termini moderni appropriati, ma ci sono ancora alcuni dettagli che potrebbero essere migliorati. Ad esempio, ""franco"" è un termine moderno, ma ""cavaliere"" è un termine arcaico che potrebbe essere sostituito con ""guerriero"".

5. **Tono e stile**: Il tono è moderno e scorrevole, ma manca di qualcosa di specifico che caratterizza il tono arcaico. La frase sembra più informale del testo originale.

6. **Costrutti rigidi**: Non ci sono costrutti rigidi o troppo fedeli all'originale antico, ma ci sono alcuni dettagli che potrebbero essere migliorati per mantenere un tono più arcaico.

7. **Riferimenti storici e culturali**: Il riferimento a Aiace come cavaliere francese è corretto, ma potrebbe essere più chiaro. Potrebbe essere utile precisare che Aiace è un personaggio mitologico greco.

8. **Saggezza**: Il termine ""saggezza"" è stato correttamente sostituito con ""saggezza"", ma ""senno"" è stato sostituito con ""saggezza"". Questo potrebbe essere un errore, dato che ""senno"" è un termine più appropriato per descrivere la capacità di fare buone decisioni.

In conclusione, la traduzione è buona ma può essere migliorata in alcuni punti. È necessario mantenere un equilibrio tra la preservazione del significato e la naturalezza del linguaggio moderno.","Quella guerra era l'opera perché etc. Dall'altra parte, Aias era un guerriero greco e valoroso armato, dotato di grande abilità, ma non era ricco di grande senno."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, prende vendetta di tutte le colpe, come stabilisce la legge, e perdonerà a nessun cavaliere che pecca.","Per valutare questa traduzione, esaminerò attentamente i punti richiesti:

1. **Significato**: Il significato della frase originale è stato mantenuto, ma ci sono alcune sfumature che potrebbero essere state perse. L'originale suggerisce un atteggiamento severo e giudicante verso il peccatore, mentre la traduzione sembra più passiva e neutra. Potrebbe essere utile mantenere l'aspetto più severo dell'originale.

2. **Grammatica**: La frase è grammaticalmente corretta, ma manca di alcuni elementi che rendono la lingua più fluida e naturale. Ad esempio, ""come dice la legge"" potrebbe essere migliorato con ""secondo la legge"".

3. **Lessico e struttura sintattica**: Il lessico è adatto a un lettore contemporaneo italiano, ma la struttura sintattica potrebbe essere migliore. La frase sembra un po' troppo semplice e lineare.

4. **Termini arcaici**: Non ci sono termini arcaici o inutilizzati nel testo di traduzione.

5. **Tono e stile**: Il tono è moderno e scorrevole, ma potrebbe essere più duro e diretto per mantenere l'aspetto dell'originale.

6. **Costrutti rigidi**: Ci sono alcuni costrutti rigidi, come ""come dice la legge"", che potrebbero essere meno utili in un contesto moderno.

7. **Riferimenti storici e culturali**: Il riferimento alla legge è stato mantenuto, ma potrebbe essere utile aggiungere un commento su cosa significa ""legge"" in questo contesto specifico.

**Valutazione finale**: 7/10

La traduzione è buona, ma ha spesso un tono troppo neutro e semplice. Potrebbe essere migliorata aggiungendo un po' più di forza e direttività nel tono, mantenendo comunque la struttura sintattica e grammaticale corrette.","Crudele, prende vendetta di tutte le colpe secondo la legge, e non perdonerà a nessun cavaliere che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non era ornato da una forza di animo superiore Ponio Aufidiano, cavaliere romano.","Per valutare questa traduzione, esamineremo attentamente i punti richiesti:

1. **Significato**: Il significato della frase originale è stato rispettato. La traduzione mantiene il nome del personaggio (Ponio Aufidiano), la sua posizione (cavaliere romano) e l'affermazione che egli non era ornato da una forza di animo superiore. Non ci sono omissioni o aggiunte impropri.

2. **Grammatica**: La frase è grammaticalmente corretta. Teme verbali, punteggiatura e accordi morfologici sono adeguati. La struttura della frase è semplice e chiara.

3. **Lessico e struttura sintattica**: Il lessico è naturale e adatto a un lettore contemporaneo italiano. La struttura sintattica è moderna e scorrevole.

4. **Sostituzione dei termini arcaici**: I termini arcaici ""fu ornato"" e ""d' altra forza"" sono stati adeguatamente sostituiti con ""era ornato"" e ""da una forza superiore"". Queste sostituzioni sono appropriate e rendono la frase più facile da comprendere per un lettore moderno.

5. **Tono e stile**: Il tono è moderno e scorrevole, simile a un testo scritto oggi. Il linguaggio è fluido e non troppo fedele all'originale antico.

6. **Costrutti rigidi, impersonali o fedeli all'originale**: Non ci sono costrutti rigidi o impersonali. La traduzione è diretta e immediata, evitando tecnicismi o modi di esprimersi troppo formali.

7. **Riferimenti storici, culturali o semantici**: Il riferimento storico alla posizione di cavaliere romano è stato mantenuto, ma il termine ""romano"" è stato sostituito con ""italiano"", dato che ""romano"" in questo contesto potrebbe essere confuso con la lingua romana. Il riferimento culturale è stato adeguatamente interpretato e adattato al contesto moderno.

**Valutazione finale**: 9/10

La traduzione è molto buona e rispetta la maggior parte dei requisiti richiesti. Solo un piccolo dettaglio potrebbe migliorare ulteriormente la traduzione: la sostituzione del termine ""romano"" con ""italiano"" per evitare eventuali equivoci. Altrimenti, la traduzione è di alta qualità e mantiene il significato, la grammatica e il tono del testo originale.","Non era ornato da una forza di animo superiore Ponio Aufidiano, cavaliere italiano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti et se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non riterrò più i fatti.","La traduzione proposta risulta essere relativamente buona, ma ci sono alcune sfumature che potrebbero essere migliorate per rendere la traduzione ancora più naturale e adeguata al contesto moderno. Ecco una valutazione dettagliata:

1. **Significato**: Il significato della frase originale è stato rispettato, ma la traduzione potrebbe essere più precisa. ""Fatì"" è un termine arcaico che si riferisce alla sorte o alle circostanze, quindi ""fatti"" potrebbe non essere il termine più appropriato. Potrebbe essere preferibile ""destinazioni"" o ""avvenimenti"".

2. **Grammatica**: La frase è grammaticalmente corretta, ma la punteggiatura potrebbe essere migliore. ""Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno"" potrebbe essere meglio scritta come ""Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno"".

3. **Lessico e struttura sintattica**: Il lessico è adatto al contesto moderno, ma la struttura sintattica potrebbe essere più fluida. ""Non riterrò più i fatti"" potrebbe essere migliorato in ""Non considererò più le destinazioni"".

4. **Termini arcaici**: ""Fatì"" è stato correttamente sostituito con ""fatti"", ma ""compagno"" è un termine moderno che non era presente nell'italiano arcaico. Invece, ""compagno"" potrebbe essere più appropriato se si intende un amico o un collega, mentre ""congiunto"" o ""complice"" potrebbero essere più adatti se si riferisce a un amico o partner.

5. **Tono e stile**: Il tono è moderno e scorrevole, ma potrebbe essere più fluido. ""Non riterrò più i fatti"" potrebbe essere migliorato in ""Non considererò più le destinazioni"".

6. **Costrutti rigidi**: Non ci sono costrutti rigidi o troppo fedeli all'originale antico. Tuttavia, la frase potrebbe essere più fluida.

7. **Riferimenti storici e culturali**: Il riferimento a Pompeio è chiaro, ma potrebbe essere meglio specificato. Si potrebbe dire ""se il tempo ha bisogno di avere Pompeio come cavaliere e non come amico"" per rendere più chiara la situazione.

**Valutazione finale**: 8/10

La traduzione è buona, ma potrebbe essere migliorata in alcuni punti per rendere la frase più fluida e adatta al contesto moderno.","Se questo piace a tutti e se il tempo ha bisogno di avere Pompeio come cavaliere e non come amico, non considererò più le destinazioni."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte sembra consistere nel dire appositamente per far credere, il fine è far credere attraverso il dire.","Per valutare la traduzione proposta, esaminerò attentamente i punti richiesti:

1. **Significato**: Il significato della frase originale è stato rispettato. La traduzione mantiene l'intento del testo originale, ma potrebbe essere più precisa nel rafforzare l'idea di ""dire appositamente"" per creare un effetto.

2. **Grammatica**: La frase è grammaticalmente corretta. Tutto è adeguatamente posizionato e le parti linguistiche sono utilizzate correttamente.

3. **Lessico e struttura sintattica**: Il lessico è naturale e adatto a un lettore contemporaneo italiano. La struttura sintattica è chiara e semplice, facilitando la comprensione.

4. **Sostituzione dei termini arcaici**: I termini arcaici sono stati sostituiti con equivalenti moderni appropriati. ""Officio"" è stato correttamente tradotto come ""ufficio"", ""dicere"" come ""dire"", ""appostatamente"" come ""appositamente"", ""fine"" come ""fino"" e ""dicere per fare credere"" come ""far credere attraverso il dire"".

5. **Tono e stile**: Il tono è moderno e scorrevole, simile a un testo scritto oggi. Il linguaggio è fluido e facile da leggere.

6. **Costrutti rigidi o fedeli all'originale**: Non sono presenti costrutti rigidi o fedeli all'originale. La traduzione è stata fatta in modo tale da sembrare naturale e moderna.

7. **Riferimenti storici o semantici**: I riferimenti storici e semantici sono stati interpretati correttamente e adattati al contesto. Il termine ""arte"" viene mantenuto nella traduzione, mantenendo il contesto letterario.

**Valutazione finale**: 9/10

La traduzione è molto buona e rispetta la maggior parte dei requisiti richiesti. Tuttavia, potrebbe essere migliorata per enfatizzare l'idea di ""dire appositamente"" per creare un effetto, magari aggiungendo una parola o due per chiarire questo punto. In generale, la traduzione è eccellente e risponde bene alle esigenze richieste.","L'ufficio di questa arte sembra consistere nel dire appositamente per far credere, il fine è far credere attraverso il dire."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco larghe vallate di nubi risolute; e potresti quasi credere che tutto il cielo precipitasse nel mare.,"La valutazione critica della traduzione proposta è la seguente:

1. **Significato**: Il significato della frase originale è stato rispettato. La traduzione mantiene l'idea di vasti spazi di nubi solide e la sensazione di un cielo che sembra cadere sul mare. Tuttavia, ""larghi ventipiovoli caggiono"" può essere considerato un po' ambiguo, mentre ""larghe vallate di nubi risolute"" è più chiara e precisa.

2. **Grammatica**: La frase è grammaticalmente corretta. Il tempo verbale è corretto, la punteggiatura è adeguata e i concordi morfologici sono corretti.

3. **Lessico e struttura sintattica**: Il lessico è naturale e adatto a un lettore contemporaneo italiano. La struttura sintattica è semplice e facile da leggere. Tuttavia, ""caggiono"" è un termine arcaico che non è più utilizzato, quindi la traduzione migliora questa parte.

4. **Termini arcaici**: ""Caggiono"" è stato correttamente sostituito con ""vallate"", ma ""nebbie"" rimane un termine arcaico. In italiano moderno, si userebbe ""nuvole"" invece.

5. **Tono e stile**: Il tono è moderno e scorrevole, simile a un testo scritto oggi. Tuttavia, la frase potrebbe apparire un po' troppo formale per un contesto moderno, dato che usa termini archaici.

6. **Costrutti rigidi**: Non sono stati presenti costrutti rigidi o impersonali. La traduzione è diretta e immediata.

7. **Riferimenti storici e culturali**: Il riferimento alla natura delle nubi e al loro effetto suggerito sul cielo e sul mare è stato correttamente interpretato e adattato al contesto moderno.

**Punteggio finale**: 8/10

La traduzione è molto buona, ma potrebbe essere migliorata ulteriormente eliminando ""nebbie"" e sostituendola con ""nuvole"". Questo piccolo aggiustamento renderebbe la frase ancora più moderna e facile da comprendere per un lettore contemporaneo.","""Ecco larghe vallate di nuvole risolute; e potresti quasi credere che tutto il cielo precipitasse nel mare."""
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però, chi spererebbe qualcosa che anche quelli che ancora non credono in Cristo vedono con noi, e perché non possono negarlo, strillano con le loro labbra.","Per valutare questa traduzione, esamineremo attentamente i punti richiesti:

1. **Significato**: 
   - La traduzione ha mantenuto il significato generale della frase originale, ma c'è una certa distorsione. L'idea che ""quelli che non vogliono ancora credere in Cristo"" vedano con noi è un po' ambigua e potrebbe essere interpretata come un errore. Inoltre, l'uso del verbo ""vedono"" potrebbe non essere il più appropriato, dato che l'originale sembra suggerire un'esperienza visiva più intensa.

2. **Grammatica**:
   - La frase è grammaticalmente corretta, ma alcuni elementi potrebbero essere migliorati. Ad esempio, ""stridono colli denti"" potrebbe essere più chiaro come ""strillano con le loro labbra"".

3. **Lessico e struttura sintattica**:
   - Il lessico è adatto a un lettore contemporaneo italiano, ma la struttura sintattica potrebbe essere più fluida. La frase è complessa e potrebbe essere più semplice.

4. **Sostituzione dei termini arcaici**:
   - Non ci sono termini arcaici o non più in uso nella traduzione.

5. **Tono e stile**:
   - Il tono è moderno e scorrevole, ma potrebbe essere più fluido. Il termine ""strillano"" può essere meno specifico rispetto a ""stridono colli denti"".

6. **Costrutti rigidi, impersonali o fedeli all'originale**:
   - Il tono è più personale e immediato, ma potrebbe essere più fedele all'originale se si volesse mantenere un certo livello di formalità.

7. **Riferimenti storici, culturali o semantici**:
   - Il riferimento alla visione con noi è stato adeguatamente interpretato, ma potrebbe essere più chiaro. Il riferimento a ""non possono negarlo"" sembra più legato alla volontà che alla capacità, quindi potrebbe essere più chiaro.

**Valutazione finale**:
La traduzione è buona, ma non perfetta. Ha mantenuto il significato generale e la struttura sintattica è corretta. Tuttavia, la struttura sintattica potrebbe essere più fluida, il tono più immediato e il riferimento alla visione potrebbe essere più chiaro. Potrebbe essere utile aggiungere qualche parola per rendere la frase più precisa e fluida.","Però, chi spererebbe qualcosa che anche quelli che ancora non vogliono credere in Cristo vedono con noi, e perché non possono negarlo, stridono colli denti con le loro labbra."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendaggi dei morti e le pressioni dei vivi fecero la frode di uno spietato re.,"La traduzione proposta risponde bene a molte delle esigenze richieste nella tua valutazione critica. Ecco una valutazione dettagliata:

1. **Significato**: Il significato della frase originale è stato rispettato. La traduzione mantiene il concetto di vendaggi (vendite) dei morti e delle presure (pressioni) dei vivi che furono usate per ingannare un re ferocemente spietato. Non ci sono omissioni o aggiunte impropri.

2. **Grammatica**: La frase è grammaticalmente corretta. Il tempo verbale è corretto (passato prossimo), la punteggiatura è adeguata e l'accordo morfologico è corretto (il ""d'"" è corretto).

3. **Lessico e struttura sintattica**: Il lessico è naturale e adatto a un lettore contemporaneo italiano. La struttura sintattica è semplice e chiara, mantenendo il senso originale.

4. **Sostituzione dei termini arcaici**: I termini arcaici sono stati sostituiti con equivalenti moderni appropriati. ""Vendimenti"" e ""presure"" sono parole moderne che mantengono il significato originale.

5. **Tono e stile**: Il tono e lo stile sono moderni, scorrevoli e simili a un testo scritto oggi. La frase è fluida e facile da leggere.

6. **Costrutti rigidi, impersonali o fedeli all'originale antico**: Non si notano costrutti rigidi o termini troppo fedeli all'originale antico. La traduzione è modernizzata senza perdere il senso del testo antico.

7. **Riferimenti storici, culturali o semantici**: I riferimenti storici e culturali sono stati interpretati correttamente e adattati al contesto. Il termine ""spietato"" è un equivalente moderno che trasmette la ferocia del re.

In conclusione, la traduzione proposta è di alta qualità e rispetta tutte le esigenze della tua valutazione. È accurata, grammaticalmente corretta, naturale e adatta al contesto moderno.",I vendaggi dei morti e le pressioni dei vivi fecero la frode di uno spietato re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quell'persona, il cui coraggio e onore attuali sono estremi, è afflitta e tormentata da ogni male per la ingratitudine verso il mio padre.","Per valutare questa traduzione, esaminerò attentamente tutti gli aspetti richiesti:

1. **Significato**: 
   - La traduzione ha mantenuto il significato generale della frase originale, ma presenta alcune sfumature diverse. L'originale parla di qualcuno che è ""feroce e onorevole"" a causa delle sue ""grandi realità"", mentre la traduzione si concentra più sulle conseguenze negative di questo stato. Tuttavia, l'intento di mostrare una persona afflitta per la ""ingratitudine"" verso il padre è stato raggiunto.

2. **Grammatica**:
   - La frase è grammaticalmente corretta, con tempi verbali, punteggiatura e accordi morfologici adeguati. Non ci sono errori notevoli.

3. **Lessico e struttura sintattica**:
   - Il lessico è naturale e adatto a un lettore contemporaneo italiano. La struttura sintattica è coerente e facile da comprendere.

4. **Sostituzione dei termini arcaici**:
   - Molte parole arcaiche sono state sostituite con equivalenti moderni appropriati, come ""coraggio"" per ""reità"", ""afflitta"" per ""afflitto"", ""tormentata"" per ""tormentato"", ""ingratitudine"" per ""impietà"".

5. **Tono e stile**:
   - Il tono è moderno e scorrevole, simile a un testo scritto oggi. Tuttavia, potrebbe essere più fluido e diretto, evitando la ripetizione di ""quell'persona"" e ""questo"" che potrebbero apparire un po' formali.

6. **Costrutti rigidi, impersonali o fedeli all'originale**:
   - Il testo è meno rigido e impersonale rispetto all'originale, ma potrebbe essere ancora un po' più diretto. L'uso di ""quell'persona"" e ""questo"" potrebbe essere evitato per rendere il testo più immediatamente comprensibile.

7. **Riferimenti storici, culturali o semantici**:
   - Il riferimento alla ""ingratitudine"" verso il padre è stato correttamente interpretato e adattato al contesto moderno. Tuttavia, potrebbe essere utile chiarire un po' meglio il significato di ""ingratitudine"" in questo contesto specifico.

**Valutazione finale**:
La traduzione è molto buona, ma potrebbe essere migliorata in alcuni punti. Rispetta il significato generale, è grammaticalmente corretta e adatta al lessico moderno. Tuttavia, potrebbe essere più diretta e fluida, evitando alcuni costrutti rigidi. Inoltre, potrebbe essere utile chiarire meglio il riferimento alla ""ingratitudine"". In generale, ottima traduzione, ma con qualche piccola area di miglioramento.","Perché quella persona, il cui coraggio e onore attuali sono estremi, è afflitta e tormentata da ogni male per l'impietà verso il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso finiscono per incontrare la verità mentre sono impegnati a mentire.,"Per valutare questa traduzione, esamineremo attentamente tutti gli aspetti richiesti:

1. **Significato**: Il significato della frase originale è stato mantenuto. ""Gli uomini spessamente a stare fermi nella bugia"" si traduce correttamente come ""Gli uomini spesso finiscono per mentire"", mantenendo il senso di ripetizione e persistenza nel mentire. ""Incontro la verità"" diventa ""incontrano la verità"", che è più fluido e naturale in italiano moderno.

2. **Grammatica**: La frase è grammaticalmente corretta. Il tempo verbale è corretto (""finiscono per incontrare""), la punteggiatura è adeguata e l'accordo morfologico è corretto.

3. **Lessico e struttura sintattica**: Il lessico è moderno e adatto a un lettore contemporaneo italiano. La struttura sintattica è più fluida e semplice, riducendo la complessità del linguaggio arcaico.

4. **Sostituzione dei termini arcaici**: I termini arcaici sono stati sostituiti con equivalenti moderni appropriati. ""Bugia"" è stato sostituito con ""bugiardo"" e ""mentire"", rendendo il testo più facile da comprendere per un lettore moderno.

5. **Tono e stile**: Il tono è moderno e scorrevole, simile a un testo scritto oggi. Il testo è più diretto e immediato rispetto alla versione arcaica.

6. **Costrutti rigidi e fedeltà all'originale**: Non ci sono costrutti rigidi o troppo fedeli all'originale. La traduzione è più fluida e diretta, ma mantiene il significato essenziale.

7. **Riferimenti storici e culturali**: Il riferimento alla ""verità"" è stato interpretato correttamente e adattato al contesto moderno. Il testo non ha riferimenti specifici storici o culturali che potrebbero essere difficili da comprendere per un lettore moderno.

**Valutazione finale**: 9/10

La traduzione è molto buona, ma c'è un piccolo punto di miglioramento. Potrebbe essere ancora più fluida eliminando alcune parole che non sono necessarie per il significato, come ""spessamente"" e ""fermi"". Tuttavia, la traduzione rispetta il significato, è grammaticalmente corretta, e mantiene un tono moderno e scorrevole.",Gli uomini finiscono per incontrare la verità mentre sono impegnati a mentire.
