Author,Date,Region,Sentence,Qwen
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era l'opera perché etc. Dall'altra parte, Aiace era un cavaliere francese e valoroso con l'arma, dotato di grande abilità, ma non era ricco di grande saggezza."
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Crudele, prende vendetta di tutte le colpe, come stabilisce la legge, e perdonerà a nessun cavaliere che pecca."
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Non era ornato da una forza di animo superiore Ponio Aufidiano, cavaliere romano."
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se questo piace a tutti et se il tempo ha bisogno di avere Pompeio come cavaliere e non come compagno, non riterrò più i fatti."
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.","L'ufficio di questa arte sembra consistere nel dire appositamente per far credere, il fine è far credere attraverso il dire."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,Ecco larghe vallate di nubi risolute; e potresti quasi credere che tutto il cielo precipitasse nel mare.
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Però, chi spererebbe qualcosa che anche quelli che ancora non credono in Cristo vedono con noi, e perché non possono negarlo, strillano con le loro labbra."
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,I vendaggi dei morti e le pressioni dei vivi fecero la frode di uno spietato re.
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Perché quell'persona, il cui coraggio e onore attuali sono estremi, è afflitta e tormentata da ogni male per la ingratitudine verso il mio padre."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso finiscono per incontrare la verità mentre sono impegnati a mentire.
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, studiosamente si riservò di parlare all'ultimo."
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,cose che sapevo fossero state fatte in Italia.
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,"Corbio, nipote di Ortensio, ha vissuto una vita più misera e più volgare."
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Anche uno amante, quando chiama sua moglie ""merzé"", usa molte parole e ragioni, e lei si difende nella sua esposizione."
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (cap. 347) che, infuriato, ho tagliato la mia donna con la scapigliatura. Oh, quanti giorni questa ira mi ha tolto!"
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,quell'uomo di cui t'avevi preoccupato perché era innamorato della tua donna;
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Ma non sapevano ancora i nomi dei congiurati, perché la donna non aveva ancora pronunciato i loro nomi."
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Cretese? Certamente quando si mosse, disse a te: ""O mia fedele donna, fa' che in mio posto il nostro eroe troiano ti sia raccomandato""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano era stata scontata la maldicenza di una donna tramite una simile bugia, nello stesso periodo del signore della repubblica, in questo modo:"
Filippo da Santa Croce,1323,tosc.,"E lamentavansi dell'iniquità d'Appio, e ripiagnevano la malavventurata beltà della pulcella e la necessità del padre.","E lamentavano l'iniquità di Appio, e piangevano la povera bellezza della vergine e la necessità del padre."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","Nella quale battaglia, certo io ho sempre avuto l'ardire di parlare di pace, e mi dispiace che non solo la pace sia stata respinta,"
Bart. da San Concordio,1313,tosc.,"la seconda suole talora per la grande provedenzia fare timoroso, e la prima per l'ardire rendere altrui matto.","La seconda, per la sua grande previdenza, può talora spaventare, mentre la prima, per l'ardire, può far perdere il senno agli altri."
Valerio Massimo (red. V1,1336,fior.,Andò nel campo de' Cartaginesi e tutta la legione trasse seco.,Si recò nel campo dei cartaginesi e trasse con sé tutta la legione.
Zanobi da Strada,1361,tosc.,"Non lo volle cognoscere per nimico. Qesta è quella, la quale diede ardire al profeta Natan a riprendere con grande autoritade quello re, il quale avea peccato.","Non volle riconoscerlo come nemico. Questa fu la ragione per cui il profeta Nathan gli diede coraggio per rimarcare con grande autorità il re, che aveva commesso un peccato."
Frontino volg.,1381,bologn.,"l'armi et insieme con loro passaseno tra li nimici, perçò se alcuno non avesse ardire de questo et sì avevano questo animo.","L'arme e insieme con essa passavano tra i nemici, quindi se qualcuno non avesse l'ardire di questo e avesse invece questo animo."
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Per cui ragionevolmente Isacco è interpretato come colpevole.
