Author,Date,Region,Sentence,LLaMA
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra era stata ben condotta ecc. Dall'altra parte, Aiace era un cavaliere libero e valoroso in battaglia, ma non era dotato di grande saggezza."
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, i vasti venti che si sviluppano cagliono ampie nuvole di nebbia; e sembrava che tutto il cielo stesse piombando nel mare."
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Invece, chi spererebbe che anche costoro, che non vogliono ancora credere in Cristo, non ci vedono già con noi, e per non poter negarlo, sbavano di rabbia."
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,Gli uomini spesso incontrano la verità proprio quando sono costretti a stare fermi nella menzogna.
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Mi ricordo (c. 347) di aver lasciato andare la mia donna quando ero infuriato. Oh, quanti giorni si sono trascinati a causa di questa mia rabbia!"
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Credi? Certamente, quando si mosse, disse: ""Oh, mia fedele donna, chiedi al nostro ospite troiano che prenda il mio posto""."
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano fu ripresa a gran voce la cattiveria di una donna che aveva commesso un simile inganno, proprio nel tempo in cui questo signore governava la repubblica."
Brunetto Latini,1294,fior.,"Nella quale battaglia, certo io ebbi sempre ardire di ragionare di pace e sempre mi dolfi che non solamente la pace era schifata,","In quella battaglia, per certo, io ebbi sempre il coraggio di parlare di pace e mi dispiacque sempre che non solo la pace venisse disprezzata,"
Giovanni da San Miniato,1415,tosc.,Unde ragionevolemente Iob è interpretato dolente;,Dove ragionevolmente Giobbe è interpretato come un uomo sofferente.
Giovanni da San Miniato,1415,tosc.,"Io spero in messer Iesù di mandare tosto a voi Timoteo, acciocché io sia d'animo buono","Spero di poter presto mandare a te Timoteo per conto di Gesù, in modo che il mio animo resti sereno."
Bono Giamboni,1292,fior.,uno luogo si mandano lancioni;  la quale cosa i cavalieri l' appellano capo di porco,"mandano un luogo lancioni; ciò che i cavalieri chiamano ""capo di porco""

Nota: ""lancioni"" è un termine arcaico che indicava un tipo di trappola o insidia, mentre ""capo di porco"" era un'espressione idiomatica che indicava un luogo dove si verificava un disastro o un'umiliazione."
Bono Giamboni,1292,fior.,"Dio, per la quale si dispensano et iudicano tutte le cose.","Dio, il quale dispensa e giudica tutte le cose."
Fatti de' Romani (H+R),1313,fior.,"Quando li serpenti invellenava di giorno alcuno Romano, allora iera la maraviglia a vedere come li Psille si combattevano al veleno, ché elli imolavano tutto inazzi della loro salive","Quando i serpenti attaccavano un romano di giorno, era una meraviglia vedere come i pitoni si difendevano dal veleno, poiché li uccidevano con il loro morso."
Filippo da Santa Croce,1323,tosc.,"notabile esemplo a ciascuno che si guardasse di fare e di pensar tradigione, il servo, il quale gli avea accusati, fu francato, e fugli donata grande quantità di moneta","Un esempio notevole per ogni persona che si guardi di fare e pensare tradimento: il servo, che gli aveva accusati, fu assolto e gli fu donata una grande quantità di denaro."
Valerio Massimo (red. V1,1336,fior.,"mostroe massimamente le forze sue, dando lui re a questa cittade ne la quale nacque servo; al quale avvenne lunghissimamente lo imperio tenere","Mostrò massimamente le sue forze, facendo di lui un re nella città in cui era nato, che regnò per un periodo lunghissimo."
Bono Giamboni,1292,fior.,"Sicchè dolore è a udire, quando l' usare l' arme e la fatica ricusano, con grandissimo disonore come pecore essere","Perciò è un gran dolore udire, quando l'uso delle armi e la fatica si rifiutano, con un grande disonore, come se fossero pecore."
T. Alderotti (?),1295,fior.,"udire di belle novelle et odorare di belli fiori, come et quando et quanto si conviene","sentire storie belle e annusare fiori bellissimi, in quanti e quando è conveniente."
Bono Giamboni,1292,fior.,"quando nella matricola si scrivono giurano per Dio, e per Cristo, e per lo Spirito Santo","quando nella matricola si giura per Dio, per Cristo e per lo Spirito Santo"
Cavalca,1308,tosc.,"Non voglio, che insuperbischi per lo santo proposito, e voto della verginità vedendo le sue laudi","Non voglio che ti dia arie per il proposito santo e il voto di verginità, vedendo le sue lodi."
Cavalca,1330,tosc.,Gregorio. Non udii mai che egli avesse maestro; ma il dono dello Spirito Santo non si può stringere a legge.,Gregorio. Non ho mai sentito dire che avesse avuto un maestro; ma il dono dello Spirito Santo non si limita a seguire regole.
Bono Giamboni,1292,fior.,"e, cosa che anche è più grave, cioè essere preso, o vero fuggire, e suo Comune lasciare vincere.","e, ancora più grave, è il fatto di essere catturato o di fuggire, lasciando il suo comune venire sconfitto."
Brunetto Latini,1260-61,fior.,"e l' acconciamento a fare grandissime cose, cioè a ttenere pace et amare Idio e 'l proximo, a ffare cittadi, castella e magioni","E l'addestramento a compiere opere grandissime, cioè a mantenere la pace, ad amare Dio e il prossimo, a fondare città, castelli e palazzi."
Chiose a Valerio Massimo (D - L. I-V),1346,tosc.,"Questi due, volendo contra la voglia del senato dimorare ne l'ufficio del tribunato, furono morti da la plebe, incitandola i padri coscritti.","Questi due, desiderando resistere contro la volontà del Senato per mantenere il tribunato, furono uccisi dalla folla, spinta dai padri coscritti."
Fatti de' Romani (H+R),1313,fior.,"noi iscaciati e dipartiti per debito dela cittade, e tutti iscaciati da fama e da ventura buona.","Noi ci siamo allontanati e partiti dalla città a causa del dovere, e tutti ci siamo allontanati anche per la fama e la buona sorte."
Brunetto Latini,1260-61,fior.,contra lui e contra le sue sorelle  e contra il reame e contra l' alto pregio della sua ingenerazione e della sua familia,"contro di lui e contro le sue sorelle, contro il regno e contro il alto prestigio della sua stirpe e della sua famiglia"
