Author,Date,Region,Sentence,Translation,Ambiguities
Brunetto Latini,1260-61,fior.,"quella guerra ben fatta l' opera perché etc. Et dall' altra parte Aiaces era uno cavaliere franco e prode all' arme, di gran guisa, ma non era pieno di grande senno","Quella guerra fu condotta bene perchè etc. D'altronde Aiace era un cavaliere nobile e valoroso in guerra, con un grande portamento, ma non era molto saggio",Ambiguità-> franco?francese/nobile
Bono Giamboni,1292,fior.,"crudele, e di tutte le colpe pigli vendetta, come dice la legge, ed a neuno cavaliere perdoni che pecchi.","Severo, e punisce ogni colpa, come prescrive la legge, e non perdona nessun cavaliere che sbaglia",
Valerio Massimo (red. V1,1336,fior.,"Non d' altra forza d' animo fue ornato Ponzio Aufidiano, romano cavaliere.","Ponzio Aufidiano, cavaliere romano, fu dotato di altrettanta forza d'animo",non d'altra = altrettanta
Lucano volg. (ed. Marinoni),1330/40,prat.,"Se questo piace a tutti e se 'l tempo hae bisogno d'avere Pompeio per cavaliere e non per compagno, non riterrò più i fati.","Se è volontà di tutti e al momento oppurtuno avremo bisogno di Pompeio come leader e non piu come compagno, non mi opporrò più al destino",
Brunetto Latini,1260-61,fior.,"Officio di questa arte pare che sia dicere appostatamente per fare credere, fine è far credere per lo dire.",Il compito di quest’arte sembra essere quello di parlare in modo da persuadere; il suo fine è far credere in ciò che si dice,
Simintendi,1333,tosc.,Ecco e larghi ventipiovoli caggiono delle risolute nebbie; e potresti credere che tutto il cielo cadesse nel mare,"Ecco, grandi raffiche di pioggia e vento si abbattevano dalle nebbie disfatte; e sembrava che l’intero cielo cadesse nel mare",
Agostino da Scarperia (?),1390,tosc.,"Però che or chi spererebbe quello che eziandio questi che non vogliono ancora credere in Cristo, già veggiono con noi, e perché nol possono negare, stridono colli denti.","Ebbene ora, chi potrebbe sperare in ciò che persino quelli che non vogliono credere in Cristo vedono insieme a noi, e dato che non lo possono più negare, digrignano con i denti",
Bono Giamboni,1292,fior.,I vendimenti de' morti et le presure de' vivi fece la frode d'uno feroce re.,La vendita dei beni dei morti e la pressione sui vivi permisero la frode di un re crudele.,
Bart. da San Concordio,1313,tosc.,"Acciocché quegli, il quale ora per le sue gran reità è feroce e onorevole, egli d'ogni male afflitto e tormentato della impietà verso il mio padre.","Affinchè lui, che ora è onorato per le sue grandi ferocità e colpe, sia colpito da ogni male, per l’empietà commessa contro mio padre",
Brunetto Latini,1260-61,fior.,Gli uomini spessamente a stare fermi nella bugia incontra la verità.,"Gli uomini spesso restando nella menzogna, finiscono per trovare la verità",
Filippo da Santa Croce,1323,tosc.,"Marco Cornelio ch'era de' dieci compagni, studiosamente  si riservò di parlare all'ultimo.","Marco Cornelio, uno dei dieci compagni, ha intenzionalmente aspettato di parlare per ultimo.",
Cavalca,1330,tosc.,cose ch'io sapeva che erano fatte in Italia.,Cose che io sapevo essere state fatte in Italia,
Valerio Massimo (red. V1,1336,fior.,Corbio nipote d' Ortensio menò sua vita più bassa e più viziosa,Corbio nipote di Ortensio condusse una vita degradante e viziosa ,
Brunetto Latini,1260-61,fior.,"Altressì uno amante chiamando merzé alla sua donna dice parole e ragioni molte, et ella si difende in suo dire.","Come un amante che chiede pietà alla sua donna con molte parole e spiegazioni, e lei si difende con le sue ragioni.",
Arte Am. Ovid. (B),1310/13,fior.,"Io mi ricordo (ch. 347) che essendo adirato scapigliai la mia donna. Ohi, quanti dì questa ira mi tolse!","Io mi ricordo (cfr. cap. 347) che essendo arrabbiato, scompigliai i capelli della mia donna. Ohi, Quanti giorni mi costò questa arrabbiatura",
Rim. Am. Ovid. (B),1310/13,fior.,colui del quale tu tti solevi dolere ch' era amante della tua donna;,"Quel uomo di cui ti lamentavi, che era innamorato della tua donna","Ambiguità -> amante nel fiorentino sta per innamorato, non amante nel senso proprio del termine"
Fatti de' Romani (H+R),1313,fior.,"Ma no sapeano già le nomora di coloro dela congiurazione, ché la donna no nominava già li nomi.","Non conoscevano già i nomi dei congiurati, perchè la donna non li rivelava",
Ceffi,1325,fior.,"Creti?  Certo quand'elli si mosse, elli ti dixe: ""O fedele mia donna, fa' che in mio luogo ti sia racomandato il nostro hoste troiano"".","Credi? Certo, quando egli si mosse, gli disse: ""O mia donna fedele, fa che al mio posto ti sia affidato il nostro ospite traiano""",
Valerio Massimo (red. V1,1336,fior.,"A Milano fue ripressa la malvagità d' una donna in simile bugìa, nel tempo medesimo di questo signore della republica, in questo modo: ","A Milano, durante il mandato di quel signore della Repubblica, fu condannata la malvagità di una donna colpevole di una simile menzogna, in questo modo:","Ambiguità - > ripressa=ripresa, non repressa"
